Wall time,Step,Value
1538627513,2191,1.454061031
1538627514,2193,1.301144123
1538627514,2194,1.214475155
1538627514,2198,1.000754356
1538627514,2201,0.847398639
1538627514,2209,0.976653337
1538627514,2213,0.821214795
1538627514,2227,0.550176263
1538627515,2231,0.542905867
1538627515,2233,0.589235127
1538627515,2238,1.379168034
1538627515,2239,1.522556663
1538627515,2241,1.380445004
1538627515,2243,1.217281342
1538627515,2244,1.146740437
1538627515,2246,1.034501672
1538627515,2248,0.954970062
1538627515,2249,0.90522635
1538627515,2256,1.075046301
1538627515,2259,0.96976155
1538627515,2264,0.786278963
1538627515,2276,0.551383376
1538627516,2280,0.544083714
1538627516,2283,0.623346567
1538627516,2293,1.14913559
1538627516,2299,0.851115584
1538627516,2300,0.805437744
1538627516,2302,0.873355865
1538627517,2305,1.077260256
1538627517,2308,0.971748233
1538627517,2309,0.918514013
1538627517,2310,0.86712712
1538627517,2320,0.597652674
1538627517,2321,0.58311826
1538627517,2322,0.569081247
1538627517,2324,0.563354194
1538627517,2336,1.384688377
1538627517,2337,1.528623819
1538627517,2338,1.463228941
1538627517,2339,1.385944009
1538627517,2347,0.908817887
1538627518,2356,0.982702971
1538627518,2373,0.56436801
1538627519,2387,1.46572721
1538627519,2391,1.153269649
1538627519,2392,1.102289319
1538627519,2394,1.008761883
1538627519,2402,1.123070955
1538627519,2404,1.034726143
1538627519,2408,0.870184422
1538627519,2418,0.599725723
1538627519,2426,0.534410298
1538627520,2427,0.546996176
1538627520,2438,1.313604355
1538627520,2446,0.855480313
1538627520,2452,1.082736492
1538627520,2453,1.036302209
1538627520,2455,0.976660073
1538627520,2457,0.871501744
1538627520,2462,0.741078734
1538627521,2481,1.03660965
1538627521,2487,1.315436244
1538627521,2488,1.227813125
1538627521,2498,0.879031897
1538627521,2500,1.126344442
1538627521,2503,0.987209558
1538627521,2504,0.978000879
1538627521,2505,0.924418926
1538627521,2515,0.625049055
1538627521,2516,0.601428866
1538627521,2519,0.579769969
1538627521,2525,0.548511565
1538627522,2530,1.03793931
1538627522,2532,1.392931104
1538627522,2534,1.47189045
1538627522,2536,1.31709528
1538627522,2545,0.811709046
1538627522,2549,1.12775588
1538627522,2553,0.97921598
1538627522,2555,0.873778045
1538627522,2558,0.793884218
1538627523,2567,0.573357999
1538627523,2568,0.580471098
1538627523,2572,0.544757962
1538627523,2578,0.849236906
1538627523,2580,1.040887713
1538627523,2592,0.915220678
1538627523,2593,0.858722985
1538627523,2594,0.812632084
1538627524,2595,0.758008301
1538627524,2598,1.129036069
1538627524,2602,0.980317652
1538627524,2608,0.780525625
1538627524,2609,0.743822992
1538627524,2612,0.64270395
1538627524,2620,0.543091893
1538627524,2625,0.596619844
1538627524,2628,1.040235519
1538627524,2631,1.541013002
1538627524,2632,1.475086689
1538627524,2638,1.047016263
1538627524,2640,0.966514468
1538627524,2646,1.012824297
1538627525,2649,1.041265249
1538627525,2652,0.927549541
1538627525,2653,0.875648201
1538627525,2657,0.781311512
1538627525,2676,0.850932419
1538627525,2680,1.542448282
1538627525,2682,1.398477674
1538627525,2687,1.047990561
1538627525,2692,0.814224064
1538627526,2705,0.796299577
1538627526,2709,0.675035119
1538627526,2712,0.60397774
1538627526,2727,1.043861747
1538627526,2738,0.968228102
1538627526,2739,0.917785525
1538627526,2742,0.760133088
1538627526,2748,0.992314219
1538627526,2755,0.782668948
1538627526,2756,0.745865166
1538627527,2757,0.715471327
1538627527,2758,0.675591826
1538627527,2759,0.644465208
1538627527,2760,0.628217995
1538627527,2768,0.546809077
1538627527,2791,0.760711908
1538627527,2792,0.884272754
1538627527,2793,1.01539588
1538627527,2800,0.877846539
1538627528,2811,0.590197325
1538627528,2813,0.583107352
1538627528,2825,1.045407176
1538627528,2826,1.400516033
1538627528,2829,1.401682854
1538627528,2831,1.236007452
1538627528,2832,1.164377928
1538627528,2834,1.050391078
1538627529,2853,0.783784151
1538627529,2858,0.629109859
1538627529,2861,0.576363146
1538627529,2864,0.559477985
1538627529,2873,1.044332266
1538627529,2874,1.046072483
1538627529,2880,1.236776352
1538627529,2882,1.11358726
1538627529,2883,1.051043987
1538627529,2889,0.761710823
1538627529,2892,1.134567976
1538627529,2893,1.092127681
1538627529,2898,0.878991127
1538627529,2900,0.789801121
1538627529,2902,0.784264624
1538627529,2905,0.67696929
1538627530,2914,0.545640171
1538627530,2919,0.599374294
1538627530,2921,0.853949785
1538627530,2922,1.044935942
1538627530,2923,1.046675444
1538627530,2934,0.970781922
1538627530,2944,0.994933724
1538627530,2952,0.747801661
1538627531,2969,0.633002222
1538627531,2976,1.404054523
1538627531,2977,1.326456666
1538627531,2980,1.114778996
1538627531,2990,1.135803342
1538627531,2996,0.879933059
1538627531,3000,0.785095632
1538627531,3005,0.630159855
1538627531,3007,0.591577232
1538627531,3009,0.584459782
1538627531,3011,0.560397744
1538627531,3013,0.54846555
1538627531,3017,0.599987984
1538627531,3018,0.63330853
1538627532,3021,1.047716737
1538627532,3027,1.238669395
1538627532,3029,1.052652001
1538627532,3032,0.971723676
1538627532,3040,1.093823791
1538627532,3042,0.995907187
1538627532,3043,0.98658371
1538627532,3044,0.932524323
1538627532,3052,0.677996993
1538627532,3067,0.633585751
1538627532,3069,1.046427608
1538627532,3071,1.404150486
1538627532,3073,1.483637929
1538627532,3075,1.32761538
1538627533,3084,0.818193197
1538627533,3088,1.136821389
1538627533,3101,0.678278208
1538627533,3105,0.592090011
1538627533,3115,0.600492716
1538627533,3124,1.328111887
1538627534,3136,1.019137144
1538627534,3139,1.047734737
1538627534,3140,0.996708632
1538627534,3146,0.80043608
1538627534,3147,0.786072373
1538627534,3149,0.718584538
1538627534,3152,0.630943477
1538627534,3157,0.572150767
1538627534,3160,0.549134076
1538627534,3161,0.540842772
1538627534,3163,0.60979712
1538627535,3179,0.972824156
1538627535,3186,1.137661338
1538627535,3190,0.987713575
1538627535,3197,0.749365687
1538627535,3198,0.718829393
1538627535,3205,0.585375428
1538627535,3208,0.547060013
1538627536,3232,0.763987184
1538627536,3235,1.138024807
1538627536,3242,0.838520586
1538627536,3245,0.786581337
1538627536,3246,0.749596715
1538627536,3248,0.67897439
1538627536,3249,0.647690475
1538627536,3256,0.561442494
1538627537,3258,0.549483359
1538627537,3269,1.485549688
1538627537,3274,1.117195845
1538627537,3283,1.020108819
1538627537,3285,1.095757008
1538627537,3287,0.997654796
1538627537,3291,0.838757932
1538627538,3294,0.786800921
1538627538,3307,0.549634337
1538627538,3308,0.541335762
1538627538,3309,0.554053009
1538627538,3315,1.049845338
1538627538,3323,1.117472887
1538627538,3329,0.819467723
1538627538,3330,0.764394283
1538627538,3331,0.888573229
1538627538,3335,1.049006224
1538627538,3340,0.838973522
1538627539,3347,0.648037791
1538627539,3355,0.547514677
1538627539,3359,0.601400018
1538627539,3363,1.048361182
1538627539,3365,1.406667352
1538627539,3371,1.169434905
